TABLESPACE_NAME,SIZE_GB,USED_GB,USED_PERCENT,COLLECTION_TIME,THRESHOLD
XDB,12582906,384,0,25-02-2025 07:20,80
SYSAUX,8388604,4988062,59,25-02-2025 08:20,80
SYSTEM,12582906,2788024,22,25-02-2025 08:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 08:20,80
UNDOTBS1,41943020,374912,1,25-02-2025 08:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 08:20,80
TEMP,125829060,5888,0,25-02-2025 08:20,80
TOOLS,88080342,8232,0,25-02-2025 08:20,80
USERS,4194302,2832,0,25-02-2025 08:20,80
WORK,12582906,384,0,25-02-2025 08:20,80
MONDB_H,16777208,2432,0,25-02-2025 08:20,80
XDB,12582906,384,0,25-02-2025 08:20,80
SYSAUX,8388604,4988646,59,25-02-2025 09:20,80
SYSTEM,12582906,2788024,22,25-02-2025 09:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 09:20,80
UNDOTBS1,41943020,349696,1,25-02-2025 09:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 09:20,80
TEMP,125829060,6400,0,25-02-2025 09:20,80
TOOLS,88080342,8232,0,25-02-2025 09:20,80
USERS,4194302,2832,0,25-02-2025 09:20,80
WORK,12582906,384,0,25-02-2025 09:20,80
MONDB_H,16777208,2432,0,25-02-2025 09:20,80
XDB,12582906,384,0,25-02-2025 09:20,80
SYSAUX,8388604,4983126,59,25-02-2025 10:20,80
SYSTEM,12582906,2788024,22,25-02-2025 10:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 10:20,80
UNDOTBS1,41943020,349976,1,25-02-2025 10:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 10:20,80
TEMP,125829060,8576,0,25-02-2025 10:20,80
TOOLS,88080342,8232,0,25-02-2025 10:20,80
USERS,4194302,2832,0,25-02-2025 10:20,80
WORK,12582906,384,0,25-02-2025 10:20,80
MONDB_H,16777208,2432,0,25-02-2025 10:20,80
XDB,12582906,384,0,25-02-2025 10:20,80
SYSAUX,8388604,4984734,59,25-02-2025 11:20,80
SYSTEM,12582906,2788024,22,25-02-2025 11:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 11:20,80
UNDOTBS1,41943020,490016,1,25-02-2025 11:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 11:20,80
TEMP,125829060,9216,0,25-02-2025 11:20,80
TOOLS,88080342,8232,0,25-02-2025 11:20,80
USERS,4194302,2832,0,25-02-2025 11:20,80
WORK,12582906,384,0,25-02-2025 11:20,80
MONDB_H,16777208,2432,0,25-02-2025 11:20,80
XDB,12582906,384,0,25-02-2025 11:20,80
SYSAUX,8388604,4985198,59,25-02-2025 12:20,80
SYSTEM,12582906,2788024,22,25-02-2025 12:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 12:20,80
UNDOTBS1,41943020,343424,1,25-02-2025 12:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 12:20,80
TEMP,125829060,11008,0,25-02-2025 12:20,80
TOOLS,88080342,8232,0,25-02-2025 12:20,80
USERS,4194302,2832,0,25-02-2025 12:20,80
WORK,12582906,384,0,25-02-2025 12:20,80
MONDB_H,16777208,2432,0,25-02-2025 12:20,80
XDB,12582906,384,0,25-02-2025 12:20,80
SYSAUX,8388604,4986158,59,25-02-2025 13:20,80
SYSTEM,12582906,2788024,22,25-02-2025 13:20,75
UNDOTBS1,41943020,2588160,6,25-02-2025 13:20,80
PERF_TBS,83886040,1756288,2,25-02-2025 13:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 13:20,80
TEMP,125829060,11520,0,25-02-2025 13:20,80
TOOLS,88080342,8232,0,25-02-2025 13:20,80
USERS,4194302,2832,0,25-02-2025 13:20,80
WORK,12582906,384,0,25-02-2025 13:20,80
MONDB_H,16777208,2432,0,25-02-2025 13:20,80
XDB,12582906,384,0,25-02-2025 13:20,80
SYSAUX,8388604,4986582,59,25-02-2025 14:20,80
SYSTEM,12582906,2788024,22,25-02-2025 14:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 14:20,80
UNDOTBS1,41943020,809088,2,25-02-2025 14:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 14:20,80
TEMP,125829060,12288,0,25-02-2025 14:20,80
TOOLS,88080342,8232,0,25-02-2025 14:20,80
USERS,4194302,2832,0,25-02-2025 14:20,80
WORK,12582906,384,0,25-02-2025 14:20,80
MONDB_H,16777208,2432,0,25-02-2025 14:20,80
XDB,12582906,384,0,25-02-2025 14:20,80
SYSAUX,8388604,4986902,59,25-02-2025 15:20,80
SYSTEM,12582906,2788024,22,25-02-2025 15:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 15:20,80
UNDOTBS1,41943020,469120,1,25-02-2025 15:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 15:20,80
TEMP,125829060,14336,0,25-02-2025 15:20,80
TOOLS,88080342,8232,0,25-02-2025 15:20,80
USERS,4194302,2832,0,25-02-2025 15:20,80
WORK,12582906,384,0,25-02-2025 15:20,80
MONDB_H,16777208,2432,0,25-02-2025 15:20,80
XDB,12582906,384,0,25-02-2025 15:20,80
SYSAUX,8388604,4987070,59,25-02-2025 16:20,80
SYSTEM,12582906,2788024,22,25-02-2025 16:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 16:20,80
UNDOTBS1,41943020,380928,1,25-02-2025 16:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 16:20,80
TEMP,125829060,14720,0,25-02-2025 16:20,80
TOOLS,88080342,8232,0,25-02-2025 16:20,80
USERS,4194302,2832,0,25-02-2025 16:20,80
WORK,12582906,384,0,25-02-2025 16:20,80
MONDB_H,16777208,2432,0,25-02-2025 16:20,80
XDB,12582906,384,0,25-02-2025 16:20,80
SYSAUX,8388604,4987614,59,25-02-2025 17:20,80
SYSTEM,12582906,2788024,22,25-02-2025 17:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 17:20,80
UNDOTBS1,41943020,379264,1,25-02-2025 17:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 17:20,80
TEMP,125829060,15104,0,25-02-2025 17:20,80
TOOLS,88080342,8232,0,25-02-2025 17:20,80
USERS,4194302,2832,0,25-02-2025 17:20,80
WORK,12582906,384,0,25-02-2025 17:20,80
MONDB_H,16777208,2432,0,25-02-2025 17:20,80
XDB,12582906,384,0,25-02-2025 17:20,80
SYSAUX,8388604,4987662,59,25-02-2025 18:20,80
SYSTEM,12582906,2788024,22,25-02-2025 18:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 18:20,80
UNDOTBS1,41943020,314240,1,25-02-2025 18:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 18:20,80
TEMP,125829060,15360,0,25-02-2025 18:20,80
TOOLS,88080342,8232,0,25-02-2025 18:20,80
USERS,4194302,2832,0,25-02-2025 18:20,80
WORK,12582906,384,0,25-02-2025 18:20,80
MONDB_H,16777208,2432,0,25-02-2025 18:20,80
XDB,12582906,384,0,25-02-2025 18:20,80
SYSAUX,8388604,4989126,59,25-02-2025 19:20,80
SYSTEM,12582906,2788024,22,25-02-2025 19:20,75
PERF_TBS,83886040,1756288,2,25-02-2025 19:20,80
UNDOTBS1,41943020,601472,1,25-02-2025 19:20,80
AUDIT_DATA,209715100,6400,0,25-02-2025 19:20,80
TEMP,125829060,15872,0,25-02-2025 19:20,80
TOOLS,88080342,8232,0,25-02-2025 19:20,80
USERS,4194302,2832,0,25-02-2025 19:20,80
WORK,12582906,384,0,25-02-2025 19:20,80
MONDB_H,16777208,2432,0,25-02-2025 19:20,80
XDB,12582906,384,0,25-02-2025 19:20,80
SYSAUX,8388604,4992846,60,26-02-2025 02:20,80
SYSTEM,12582906,2788024,22,26-02-2025 02:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 02:20,80
UNDOTBS1,41943020,396544,1,26-02-2025 02:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 02:20,80
TEMP,125829060,3456,0,26-02-2025 02:20,80
TOOLS,88080342,8232,0,26-02-2025 02:20,80
USERS,4194302,2832,0,26-02-2025 02:20,80
WORK,12582906,384,0,26-02-2025 02:20,80
MONDB_H,16777208,2432,0,26-02-2025 02:20,80
XDB,12582906,384,0,26-02-2025 02:20,80
SYSAUX,8388604,4993270,60,26-02-2025 03:20,80
SYSTEM,12582906,2788024,22,26-02-2025 03:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 03:20,80
UNDOTBS1,41943020,318976,1,26-02-2025 03:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 03:20,80
TEMP,125829060,4480,0,26-02-2025 03:20,80
TOOLS,88080342,8232,0,26-02-2025 03:20,80
USERS,4194302,2832,0,26-02-2025 03:20,80
WORK,12582906,384,0,26-02-2025 03:20,80
MONDB_H,16777208,2432,0,26-02-2025 03:20,80
XDB,12582906,384,0,26-02-2025 03:20,80
SYSAUX,8388604,4993278,60,26-02-2025 04:20,80
SYSTEM,12582906,2788024,22,26-02-2025 04:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 04:20,80
UNDOTBS1,41943020,281088,1,26-02-2025 04:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 04:20,80
TEMP,125829060,5504,0,26-02-2025 04:20,80
TOOLS,88080342,8232,0,26-02-2025 04:20,80
USERS,4194302,2832,0,26-02-2025 04:20,80
WORK,12582906,384,0,26-02-2025 04:20,80
MONDB_H,16777208,2432,0,26-02-2025 04:20,80
XDB,12582906,384,0,26-02-2025 04:20,80
SYSAUX,8388604,4941726,59,26-02-2025 05:20,80
SYSTEM,12582906,2788024,22,26-02-2025 05:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 05:20,80
UNDOTBS1,41943020,241536,1,26-02-2025 05:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 05:20,80
TEMP,125829060,6784,0,26-02-2025 05:20,80
TOOLS,88080342,8232,0,26-02-2025 05:20,80
USERS,4194302,2832,0,26-02-2025 05:20,80
WORK,12582906,384,0,26-02-2025 05:20,80
MONDB_H,16777208,2432,0,26-02-2025 05:20,80
XDB,12582906,384,0,26-02-2025 05:20,80
SYSAUX,8388604,4942150,59,26-02-2025 06:20,80
SYSTEM,12582906,2788024,22,26-02-2025 06:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 06:20,80
UNDOTBS1,41943020,238592,1,26-02-2025 06:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 06:20,80
TEMP,125829060,6912,0,26-02-2025 06:20,80
TOOLS,88080342,8232,0,26-02-2025 06:20,80
USERS,4194302,2832,0,26-02-2025 06:20,80
WORK,12582906,384,0,26-02-2025 06:20,80
MONDB_H,16777208,2432,0,26-02-2025 06:20,80
XDB,12582906,384,0,26-02-2025 06:20,80
SYSAUX,8388604,4942438,59,26-02-2025 07:20,80
SYSTEM,12582906,2788024,22,26-02-2025 07:20,75
PERF_TBS,83886040,1756416,2,26-02-2025 07:20,80
UNDOTBS1,41943020,303872,1,26-02-2025 07:20,80
AUDIT_DATA,209715100,6400,0,26-02-2025 07:20,80
TEMP,125829060,7296,0,26-02-2025 07:20,80
TOOLS,88080342,8232,0,26-02-2025 07:20,80
USERS,4194302,2832,0,26-02-2025 07:20,80
WORK,12582906,384,0,26-02-2025 07:20,80
MONDB_H,16777208,2432,0,26-02-2025 07:20,80
XDB,12582906,384,0,26-02-2025 07:20,80
