Size,Used,Avail,Used%,date_time
1000G,800G,201G,80%,2025-03-06 18:20:01
1000G,800G,201G,80%,2025-03-06 19:20:02
1000G,801G,199G,81%,2025-03-07 02:20:01
1000G,801G,199G,81%,2025-03-07 03:20:01
1000G,801G,199G,81%,2025-03-07 04:20:04
1000G,801G,199G,81%,2025-03-07 05:20:04
1000G,801G,199G,81%,2025-03-07 06:20:01
1000G,801G,199G,81%,2025-03-07 07:20:02
1000G,801G,199G,81%,2025-03-07 08:20:02
1000G,801G,199G,81%,2025-03-07 09:20:02
1000G,801G,199G,81%,2025-03-07 10:20:01
1000G,801G,199G,81%,2025-03-07 11:20:01
1000G,802G,199G,81%,2025-03-07 12:20:02
1000G,802G,199G,81%,2025-03-07 13:20:01
1000G,802G,199G,81%,2025-03-07 14:20:02
1000G,802G,199G,81%,2025-03-07 15:20:02
1000G,802G,199G,81%,2025-03-07 16:20:02
1000G,802G,199G,81%,2025-03-07 17:20:02
1000G,802G,199G,81%,2025-03-07 18:20:01
1000G,802G,199G,81%,2025-03-07 19:20:02
1000G,797G,204G,80%,2025-03-10 02:20:02
1000G,797G,204G,80%,2025-03-10 03:20:02
1000G,797G,204G,80%,2025-03-10 04:20:01
1000G,797G,204G,80%,2025-03-10 05:20:01
1000G,797G,204G,80%,2025-03-10 06:20:01
1000G,797G,204G,80%,2025-03-10 07:20:04
1000G,797G,204G,80%,2025-03-10 08:20:01
1000G,797G,204G,80%,2025-03-10 09:20:01
1000G,797G,204G,80%,2025-03-10 10:20:01
1000G,797G,203G,80%,2025-03-10 11:20:03
1000G,797G,203G,80%,2025-03-10 12:20:03
1000G,797G,203G,80%,2025-03-10 13:20:04
1000G,797G,203G,80%,2025-03-10 14:20:04
1000G,797G,203G,80%,2025-03-10 15:20:04
1000G,797G,203G,80%,2025-03-10 16:20:04
1000G,809G,192G,81%,2025-03-10 17:20:04
1000G,809G,191G,81%,2025-03-10 18:20:01
1000G,809G,191G,81%,2025-03-10 19:20:02
1000G,811G,190G,82%,2025-03-11 02:20:01
1000G,811G,190G,82%,2025-03-11 03:20:01
1000G,811G,190G,82%,2025-03-11 04:20:01
1000G,811G,190G,82%,2025-03-11 05:20:03
1000G,811G,190G,82%,2025-03-11 06:20:03
1000G,811G,190G,82%,2025-03-11 07:20:03
1000G,811G,190G,82%,2025-03-11 08:20:01
1000G,811G,190G,82%,2025-03-11 09:20:02
1000G,811G,190G,82%,2025-03-11 10:20:01
1000G,811G,190G,82%,2025-03-11 11:20:02
1000G,811G,190G,82%,2025-03-11 12:20:02
1000G,811G,189G,82%,2025-03-11 13:20:03
1000G,811G,189G,82%,2025-03-11 14:20:03
1000G,811G,189G,82%,2025-03-11 15:20:03
1000G,811G,189G,82%,2025-03-11 16:20:03
1000G,811G,189G,82%,2025-03-11 17:20:04
